date;is_throttled;freq;temp;volt
Thu 26 Jan 20:08:47 CET 2023;throttled=0xe0000;800Mhz;temp=42.8'C;volt=0.8700V
Thu 26 Jan 20:08:49 CET 2023;throttled=0xe0000;600Mhz;temp=41.8'C;volt=0.8700V
Thu 26 Jan 20:08:51 CET 2023;throttled=0xe0000;600Mhz;temp=41.8'C;volt=0.8700V
Thu 26 Jan 20:08:53 CET 2023;throttled=0xe0000;600Mhz;temp=41.8'C;volt=0.8700V
Thu 26 Jan 20:08:55 CET 2023;throttled=0xe0000;700Mhz;temp=41.3'C;volt=0.8700V
Thu 26 Jan 20:08:57 CET 2023;throttled=0xe0000;600Mhz;temp=41.8'C;volt=0.8700V
Thu 26 Jan 20:08:59 CET 2023;throttled=0xe0000;1800Mhz;temp=47.7'C;volt=0.9360V
Thu 26 Jan 20:09:01 CET 2023;throttled=0xe0000;1800Mhz;temp=53.5'C;volt=0.9360V
Thu 26 Jan 20:09:04 CET 2023;throttled=0xe0000;1800Mhz;temp=56.4'C;volt=0.9360V
Thu 26 Jan 20:09:06 CET 2023;throttled=0xe0000;1800Mhz;temp=58.4'C;volt=0.9360V
Thu 26 Jan 20:09:08 CET 2023;throttled=0xe0000;1800Mhz;temp=60.8'C;volt=0.9360V
Thu 26 Jan 20:09:10 CET 2023;throttled=0xe0000;1800Mhz;temp=61.8'C;volt=0.9360V
Thu 26 Jan 20:09:12 CET 2023;throttled=0xe0000;1800Mhz;temp=63.7'C;volt=0.9360V
Thu 26 Jan 20:09:14 CET 2023;throttled=0xe0000;1800Mhz;temp=64.7'C;volt=0.9360V
Thu 26 Jan 20:09:17 CET 2023;throttled=0xe0000;1800Mhz;temp=66.2'C;volt=0.9360V
Thu 26 Jan 20:09:19 CET 2023;throttled=0xe0000;1800Mhz;temp=66.7'C;volt=0.9360V
Thu 26 Jan 20:09:21 CET 2023;throttled=0xe0000;1800Mhz;temp=67.6'C;volt=0.9360V
Thu 26 Jan 20:09:23 CET 2023;throttled=0xe0000;1800Mhz;temp=68.6'C;volt=0.9360V
Thu 26 Jan 20:09:25 CET 2023;throttled=0xe0000;1800Mhz;temp=69.1'C;volt=0.9360V
Thu 26 Jan 20:09:28 CET 2023;throttled=0xe0000;1800Mhz;temp=69.6'C;volt=0.9360V
Thu 26 Jan 20:09:30 CET 2023;throttled=0xe0000;1800Mhz;temp=70.1'C;volt=0.9360V
Thu 26 Jan 20:09:32 CET 2023;throttled=0xe0000;1800Mhz;temp=70.6'C;volt=0.9360V
Thu 26 Jan 20:09:34 CET 2023;throttled=0xe0000;1800Mhz;temp=72.0'C;volt=0.9360V
Thu 26 Jan 20:09:36 CET 2023;throttled=0xe0000;1800Mhz;temp=71.5'C;volt=0.9360V
Thu 26 Jan 20:09:38 CET 2023;throttled=0xe0000;1800Mhz;temp=72.0'C;volt=0.9360V
Thu 26 Jan 20:09:41 CET 2023;throttled=0xe0000;1800Mhz;temp=73.0'C;volt=0.9360V
Thu 26 Jan 20:09:43 CET 2023;throttled=0xe0000;1800Mhz;temp=73.5'C;volt=0.9360V
Thu 26 Jan 20:09:45 CET 2023;throttled=0xe0000;1800Mhz;temp=73.0'C;volt=0.9360V
Thu 26 Jan 20:09:47 CET 2023;throttled=0xe0000;1800Mhz;temp=74.0'C;volt=0.9360V
Thu 26 Jan 20:09:49 CET 2023;throttled=0xe0000;1800Mhz;temp=73.5'C;volt=0.9360V
Thu 26 Jan 20:09:52 CET 2023;throttled=0xe0000;1800Mhz;temp=75.4'C;volt=0.9360V
Thu 26 Jan 20:09:54 CET 2023;throttled=0xe0000;1800Mhz;temp=75.4'C;volt=0.9360V
Thu 26 Jan 20:09:56 CET 2023;throttled=0xe0000;1800Mhz;temp=76.4'C;volt=0.9360V
Thu 26 Jan 20:09:58 CET 2023;throttled=0xe0000;1800Mhz;temp=76.9'C;volt=0.9360V
Thu 26 Jan 20:10:00 CET 2023;throttled=0xe0000;1800Mhz;temp=76.9'C;volt=0.9360V
Thu 26 Jan 20:10:02 CET 2023;throttled=0xe0000;1800Mhz;temp=77.4'C;volt=0.9360V
Thu 26 Jan 20:10:05 CET 2023;throttled=0xe0000;1800Mhz;temp=77.9'C;volt=0.9360V
Thu 26 Jan 20:10:07 CET 2023;throttled=0xe0000;1800Mhz;temp=77.4'C;volt=0.9360V
Thu 26 Jan 20:10:09 CET 2023;throttled=0xe0000;1800Mhz;temp=78.4'C;volt=0.9360V
Thu 26 Jan 20:10:11 CET 2023;throttled=0xe0000;1800Mhz;temp=77.9'C;volt=0.9360V
Thu 26 Jan 20:10:13 CET 2023;throttled=0xe0000;1800Mhz;temp=78.8'C;volt=0.9360V
Thu 26 Jan 20:10:16 CET 2023;throttled=0xe0000;1800Mhz;temp=79.8'C;volt=0.9360V
Thu 26 Jan 20:10:18 CET 2023;throttled=0xe0000;1800Mhz;temp=79.3'C;volt=0.9360V
Thu 26 Jan 20:10:20 CET 2023;throttled=0xe0000;1800Mhz;temp=78.8'C;volt=0.9360V
Thu 26 Jan 20:10:22 CET 2023;throttled=0xe0000;1800Mhz;temp=80.8'C;volt=0.9360V
Thu 26 Jan 20:10:24 CET 2023;throttled=0xe0000;1800Mhz;temp=80.8'C;volt=0.9360V
Thu 26 Jan 20:10:27 CET 2023;throttled=0xe0000;1800Mhz;temp=80.8'C;volt=0.9360V
Thu 26 Jan 20:10:29 CET 2023;throttled=0xe0000;1800Mhz;temp=81.3'C;volt=0.9360V
Thu 26 Jan 20:10:31 CET 2023;throttled=0xe0000;1800Mhz;temp=81.8'C;volt=0.9360V
Thu 26 Jan 20:10:33 CET 2023;throttled=0xe0000;1800Mhz;temp=81.8'C;volt=0.9360V
Thu 26 Jan 20:10:35 CET 2023;throttled=0xe0008;1800Mhz;temp=81.3'C;volt=0.9360V
Thu 26 Jan 20:10:38 CET 2023;throttled=0xe0000;1775Mhz;temp=82.3'C;volt=0.9360V
Thu 26 Jan 20:10:40 CET 2023;throttled=0xe0000;1800Mhz;temp=82.3'C;volt=0.9197V
Thu 26 Jan 20:10:42 CET 2023;throttled=0xe0008;1775Mhz;temp=81.3'C;volt=0.9305V
Thu 26 Jan 20:10:44 CET 2023;throttled=0xe0008;1726Mhz;temp=81.8'C;volt=0.9305V
Thu 26 Jan 20:10:46 CET 2023;throttled=0xe0008;1726Mhz;temp=82.7'C;volt=0.9305V
Thu 26 Jan 20:10:48 CET 2023;throttled=0xe0000;1629Mhz;temp=82.3'C;volt=0.9305V
Thu 26 Jan 20:10:51 CET 2023;throttled=0xe0008;1677Mhz;temp=82.3'C;volt=0.9197V
Thu 26 Jan 20:10:53 CET 2023;throttled=0xe0008;1775Mhz;temp=82.3'C;volt=0.9305V
Thu 26 Jan 20:10:55 CET 2023;throttled=0xe0008;1775Mhz;temp=82.3'C;volt=0.9197V
Thu 26 Jan 20:10:57 CET 2023;throttled=0xe0008;1775Mhz;temp=82.7'C;volt=0.9197V
Thu 26 Jan 20:10:59 CET 2023;throttled=0xe0008;1775Mhz;temp=82.7'C;volt=0.9089V
Thu 26 Jan 20:11:02 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:11:04 CET 2023;throttled=0xe0008;1775Mhz;temp=81.8'C;volt=0.8984V
Thu 26 Jan 20:11:06 CET 2023;throttled=0xe0000;1677Mhz;temp=82.7'C;volt=0.9360V
Thu 26 Jan 20:11:08 CET 2023;throttled=0xe0008;1726Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:11:10 CET 2023;throttled=0xe0008;1629Mhz;temp=82.3'C;volt=0.9305V
Thu 26 Jan 20:11:12 CET 2023;throttled=0xe0008;1726Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:11:15 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:11:17 CET 2023;throttled=0xe0008;1726Mhz;temp=83.2'C;volt=0.8984V
Thu 26 Jan 20:11:19 CET 2023;throttled=0xe0008;1775Mhz;temp=82.7'C;volt=0.9197V
Thu 26 Jan 20:11:21 CET 2023;throttled=0xe0008;1677Mhz;temp=83.2'C;volt=0.8984V
Thu 26 Jan 20:11:23 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.9197V
Thu 26 Jan 20:11:25 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:11:28 CET 2023;throttled=0xe0008;1580Mhz;temp=82.3'C;volt=0.9197V
Thu 26 Jan 20:11:30 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:11:32 CET 2023;throttled=0xe0008;1677Mhz;temp=82.7'C;volt=0.9197V
Thu 26 Jan 20:11:34 CET 2023;throttled=0xe0008;1726Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:11:36 CET 2023;throttled=0xe0008;1677Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:11:39 CET 2023;throttled=0xe0008;1677Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:11:41 CET 2023;throttled=0xe0008;1531Mhz;temp=83.2'C;volt=0.8984V
Thu 26 Jan 20:11:43 CET 2023;throttled=0xe0008;1531Mhz;temp=82.7'C;volt=0.9197V
Thu 26 Jan 20:11:45 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:11:47 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:11:50 CET 2023;throttled=0xe0008;1677Mhz;temp=82.7'C;volt=0.8768V
Thu 26 Jan 20:11:52 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.8984V
Thu 26 Jan 20:11:54 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:11:56 CET 2023;throttled=0xe0008;1726Mhz;temp=83.2'C;volt=0.8768V
Thu 26 Jan 20:11:58 CET 2023;throttled=0xe0006;600Mhz;temp=82.3'C;volt=0.9197V
Thu 26 Jan 20:12:01 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:12:03 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.9089V
Thu 26 Jan 20:12:05 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8984V
Thu 26 Jan 20:12:07 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8984V
Thu 26 Jan 20:12:10 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:12:12 CET 2023;throttled=0xe0008;1629Mhz;temp=82.7'C;volt=0.8768V
Thu 26 Jan 20:12:14 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:12:16 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:12:18 CET 2023;throttled=0xe0008;1580Mhz;temp=85.2'C;volt=0.8984V
Thu 26 Jan 20:12:20 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:12:23 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:12:25 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:12:27 CET 2023;throttled=0xe0006;1677Mhz;temp=82.7'C;volt=0.9089V
Thu 26 Jan 20:12:29 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:12:32 CET 2023;throttled=0xe0008;1531Mhz;temp=82.7'C;volt=0.8984V
Thu 26 Jan 20:12:34 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:12:36 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:12:38 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:12:40 CET 2023;throttled=0xe0008;1531Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:12:43 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:12:45 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:12:47 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:12:49 CET 2023;throttled=0xe0008;1726Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:12:51 CET 2023;throttled=0xe0008;600Mhz;temp=83.7'C;volt=0.9305V
Thu 26 Jan 20:12:53 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:12:56 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:12:58 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:13:00 CET 2023;throttled=0xe0008;1677Mhz;temp=84.2'C;volt=0.8984V
Thu 26 Jan 20:13:02 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:13:04 CET 2023;throttled=0xe0008;600Mhz;temp=84.7'C;volt=0.9197V
Thu 26 Jan 20:13:07 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:09 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:13:11 CET 2023;throttled=0xe0008;600Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:13:13 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:13:15 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8700V
Thu 26 Jan 20:13:18 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:20 CET 2023;throttled=0xe0008;1726Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:13:22 CET 2023;throttled=0xe0008;1726Mhz;temp=83.2'C;volt=0.8700V
Thu 26 Jan 20:13:24 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:13:26 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:13:29 CET 2023;throttled=0xe0008;1531Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:13:31 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:33 CET 2023;throttled=0xe0006;1580Mhz;temp=84.7'C;volt=0.8700V
Thu 26 Jan 20:13:35 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8700V
Thu 26 Jan 20:13:37 CET 2023;throttled=0xe0006;1580Mhz;temp=82.7'C;volt=0.8984V
Thu 26 Jan 20:13:40 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:42 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:13:44 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.9089V
Thu 26 Jan 20:13:46 CET 2023;throttled=0xe0008;1531Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:13:49 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.8768V
Thu 26 Jan 20:13:51 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:53 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:55 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:13:57 CET 2023;throttled=0xe0006;1629Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:13:59 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:14:02 CET 2023;throttled=0xe0008;600Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:14:04 CET 2023;throttled=0xe0008;600Mhz;temp=83.7'C;volt=0.9089V
Thu 26 Jan 20:14:06 CET 2023;throttled=0xe0008;1629Mhz;temp=85.2'C;volt=0.8984V
Thu 26 Jan 20:14:08 CET 2023;throttled=0xe0008;1629Mhz;temp=85.7'C;volt=0.8984V
Thu 26 Jan 20:14:11 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:14:13 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:14:15 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:14:17 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:14:19 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:14:21 CET 2023;throttled=0xe0008;1531Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:14:24 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:14:26 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:14:28 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:14:30 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:14:32 CET 2023;throttled=0xe0008;600Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:14:35 CET 2023;throttled=0xe0008;1677Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:14:37 CET 2023;throttled=0xe0008;600Mhz;temp=83.2'C;volt=0.8984V
Thu 26 Jan 20:14:39 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:14:41 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:14:43 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8876V
